phi1,phi2,g11,g22,g12,g21
0,0,278.51476358073836,278.11606745631065,0.012660429954474948,0.01420980159067932
0,1,278.49396027622396,285.02521905796783,0.06925160184051134,0.06954952155795364
0,2,278.5334083958372,362.2788558725432,0.20951883327160803,0.20657960111529797
0,3,278.3626511011798,399.29859662160754,0.47215733052781367,0.473683090240739
0,4,278.49501428497774,426.03273229211464,0.8576484923241373,0.8532683221829499
0,5,278.3685154184223,462.18942368194854,1.358862496021789,1.3806670126059812
0,6,278.4970846463692,454.3558625252594,2.1606906290444616,2.1706055972444394
0,7,278.4199000025531,412.29168251241293,3.187758192282736,3.1953273301674434
0,8,278.45547588430657,428.4444744891871,4.238334200492954,4.251178231932726
0,9,278.395260411563,374.4676065160711,3.4341362410118057,3.452915906009321
0,10,278.51582854535303,262.7820908850313,0.5912328893554221,0.5738287530065095
0,11,278.39774148132875,237.5573731329416,-0.7691179163983032,-0.7773570013691926
0,12,278.2615928386933,359.3178818554033,-0.07441723381359483,-0.05631649364287938
0,13,278.3324961001625,610.11326352562,1.1731151901305223,1.1886122403097341
0,14,278.4027243228364,842.7109717199932,1.3441167962238576,1.333508708451191
0,15,278.42192918320677,919.0221376640759,0.6752787182045541,0.6588129000141001
0,16,278.3353260143001,874.0068701330076,0.1384387764353629,0.13823538138871028
0,17,278.29775802429816,773.1479876343016,-0.030696439877631702,-0.01570475926978108
0,18,278.407768487253,659.4762056573841,-0.009873400485008066,-0.007118980982124934
0,19,278.40456587180114,467.9055406149371,0.0077890168158397,0.015094778843927348
1,0,284.95177336610715,278.1377596293159,-0.0785665383735414,-0.07280312669277288
1,1,284.8934181952283,285.1243486580198,-0.18043849880609178,-0.196184568268956
1,2,284.89967144203905,362.2984017500605,-0.31467571287500246,-0.3065784630320241
1,3,284.9171122969534,399.3217276701807,-0.44195217109323687,-0.4593138993576681
1,4,284.8861810461585,426.0551736856305,-0.5416304605562645,-0.5466169525418266
1,5,284.9684103495181,462.1363253761085,-0.5205653038863579,-0.5270458679038458
1,6,284.938593447886,454.17963688109455,-0.4106169106762923,-0.38956655274491997
1,7,284.9512383351251,412.16274631421885,-0.18507472291002447,-0.17730923716242505
