phi1,phi2,g11,g22,g12,g21
0,0,278.0574681018811,278.06475964466557,-0.19050434160939225,-0.20431082166495007
0,1,278.05523372892446,285.4294769678722,-0.26299573377392965,-0.2517621222121848
0,2,278.0453408639612,362.61180209622205,-0.25085068210020983,-0.24443729401912126
0,3,278.04419131825784,399.3440154050796,-0.19719857786499062,-0.21709020801148388
0,4,277.88826715845545,426.05368425459034,-0.20765670874986472,-0.19221759230946614
0,5,278.0049445974081,462.02955592392624,-0.17645161851689348,-0.1842913678505737
0,6,278.0110474441068,454.0746070950128,-0.13085107872173324,-0.140574415295506
0,7,278.0036252388504,411.948560749157,-0.048009638442565485,-0.03221760066455084
0,8,278.00537702301114,427.98135690174115,0.0609974853948582,0.08748086176262088
0,9,277.96738776490747,374.03221666902067,0.19902178231613002,0.18668416043098301
0,10,278.01227446979686,262.7904176053913,0.2349115803361321,0.2398189754487739
0,11,277.99482010830997,237.25099392646024,0.26678482686038696,0.2650164475331762
0,12,277.836712359434,358.2678012309979,0.3561261236467444,0.3595740677386216
0,13,278.049197192441,608.5580897276391,0.5027101082264681,0.4993811791549144
0,14,278.05723161681897,841.3424125072169,0.5389741926287969,0.5433955451724803
0,15,278.021003131718,918.3173837264255,0.3359006912934155,0.32549114065683654
0,16,277.9775783208128,873.8742158683461,0.05690820538569632,0.07758090327597904
0,17,278.0843556633643,773.1806915753098,0.01700537723607819,0.005467279318841155
0,18,278.0342920750509,659.5047426086552,0.028440362856992238,0.02532568741543994
0,19,278.02118791318503,467.9049224859522,-0.09241711939803017,-0.08835543458569324
1,0,284.67170788040755,278.0665359021231,-0.248815839923707,-0.26243961006832456
1,1,284.75974692500694,285.4019370719132,-0.30605044107639234,-0.31351250139356657
1,2,284.69825338830924,362.56135984153417,-0.3082599969669113,-0.30466437043212036
1,3,284.70499419887267,399.3341588513747,-0.2654244876437117,-0.2697421700421282
1,4,284.57256953719326,426.048017502697,-0.2433010932279346,-0.24437133856261106
1,5,284.7717888783595,462.02629312731045,-0.22596638328161975,-0.22945068113098596
1,6,284.78138368327996,454.01088643273516,-0.16212079493681297,-0.17975283736966077
1,7,284.7596740555689,411.9500980792459,-0.056204689890422904,-0.04424283670430762
1,8,284.77318154668984,427.98353087425227,0.13349339772504137,0.11015940192539157
1,9,284.7520473906569,374.0377855615004,0.25123882468090863,0.24776405231187873
1,10,284.7813869841622,262.8100520118802,0.3289165052350518,0.3418698419871171
1,11,284.76103783711,237.2315956869532,0.35595576646293786,0.3588986593398957
1,12,284.7822427457937,358.18761428477376,0.4640618919038576,0.472952818407443
1,13,284.70553572167233,608.4113390346403,0.6875752560591636,0.6860602694109442
1,14,284.74424666034605,841.3146331625369,0.7221775341867024,0.7244143618203958
1,15,284.7679376895443,918.3197142668274,0.42147018808567416,0.4141979300795375
1,16,284.80752829340156,873.8966065564341,0.08319943164852918,0.09459302559244498
1,17,284.76876096489696,773.1700090275262,0.015061894302130677,0.009467110956740413
1,18,284.7522953288142,659.9262151332985,0.02781337753229858,0.03126367174447768
1,19,284.75433474886745,467.8992930253529,-0.10226557381060623,-0.11032100339817172
2,0,361.82905520409537,278.2075254349673,-0.27209387606017443,-0.26191597969427216
2,1,361.8702041170094,285.3992252511914,-0.3378914831030696,-0.33211783965497876
2,2,361.84966101469337,362.6299673464671,-0.33338911272627003,-0.33855990975131617
2,3,361.88455206278286,399.4587062868631,-0.27937753004801974,-0.2860905527512215
2,4,361.86102082348054,425.9939359475855,-0.2625899968611039,-0.2653449613384785
2,5,362.0319799151219,462.010660047389,-0.24092719321057868,-0.26545341412539025
2,6,361.9365246541808,453.97271418512275,-0.16036827667894415,-0.1811464768265174
2,7,361.94856059695695,412.0705705844151,-0.04857956868351263,-0.0525414266663106
2,8,361.89252128678316,428.01319428935267,0.12991470802110638,0.11256795015948372
2,9,361.8177549974046,374.0361000031058,0.2904171351699258,0.288564848540975
2,10,361.8212640635221,262.80682139468377,0.3514670312869547,0.361765770480907
2,11,361.58369191011803,237.25554222448812,0.42777041990415654,0.410497904326854
2,12,361.9371350732877,358.25116051320526,0.5369827358199764,0.5488264588360521
2,13,361.9134909608225,608.4713944294161,0.7823684014766864,0.7978257513101755
2,14,361.877538771193,841.3395167233182,0.8250776475715123,0.7966841760704102
2,15,361.9052057888869,918.3276119248271,0.4818670299233203,0.467573541789688
2,16,361.8457264377477,873.8914279623488,0.08711557895976269,0.09382178704446587
2,17,361.8836094655085,773.1689011861217,0.006396977994203861,0.009691197670352302
2,18,361.841957876105,659.8559321825055,0.014399735804767295,0.01939988757171003
2,19,361.85730205749564,467.8816659786869,-0.10496696328198572,-0.1260179614530692
3,0,399.2970054218358,278.16605888766713,-0.23953823803559512,-0.23925753572111888
3,1,399.27679922908703,285.47680337919417,-0.29341991503793596,-0.3047441404331453
3,2,399.29748502212163,362.60378332795,-0.29461855124032604,-0.290915426317651
3,3,399.28673862608844,399.4590240645865,-0.2487131801244102,-0.26851385536248995
3,4,399.41161452290453,425.98287128495207,-0.25802972914454286,-0.2453953537981983
3,5,399.35081760139883,462.0458844585549,-0.2059236326466627,-0.2277634410977399
3,6,399.3729010013665,454.1025228009043,-0.189190541544391,-0.1783910674786716
3,7,399.2723611102148,412.0534189404239,-0.048082724466306674,-0.04890759854046694
3,8,399.31693789229723,427.84435438650314,0.1181094525171309,0.13409365482640365
3,9,399.43443218879804,374.0399976195222,0.29229445616338046,0.3003036704618601
3,10,399.3227840099161,262.83378418267984,0.3845845503428909,0.3643596092596957
3,11,399.40177733573245,237.21957796095307,0.4315151172633255,0.4144917708781753
3,12,399.35218055594675,358.265139980981,0.5373492858314388,0.5753913407902856
3,13,399.39930746781647,608.6173491607748,0.8040461537357967,0.8051777204414707
